City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rio grande,-32.035,-52.0986,16.55,65,10,4.66,BR,1681441105
1,qaanaaq,77.484,-69.3632,-15.38,75,3,2.68,GL,1681441106
2,sarai naurang,32.8259,70.7814,29.72,23,0,0.72,PK,1681441106
3,tuatapere,-46.1333,167.6833,17.97,60,0,1.74,NZ,1681441106
4,albany,42.6001,-73.9662,20.23,56,7,2.04,US,1681440917
5,cherskiy,68.75,161.3,-11.03,77,7,3.29,RU,1681441107
6,kahului,20.8947,-156.47,29.01,59,20,9.26,US,1681440976
7,jamestown,42.097,-79.2353,18.8,58,0,3.09,US,1681441043
8,rikitea,-23.1203,-134.9692,23.3,86,100,11.08,PF,1681440906
9,ushuaia,-54.8,-68.3,3.81,81,0,0.51,AR,1681441108
10,vaini,-21.2,-175.2,30.09,70,20,6.69,TO,1681441109
11,kapaa,22.0752,-159.319,26.99,80,75,7.72,US,1681441093
12,najran,17.4924,44.1277,20.36,57,4,1.58,SA,1681441109
13,nsanje,-16.92,35.262,19.78,97,67,0.69,MW,1681441109
14,portoferraio,42.8115,10.3146,12.76,62,69,6.5,IT,1681441110
15,skibbereen,51.55,-9.2667,6.73,94,100,2.91,IE,1681441110
16,kodiak,57.79,-152.4072,1.73,87,100,3.09,US,1681441110
17,upernavik,72.7868,-56.1549,-11.31,93,100,2.39,GL,1681441110
18,vallenar,-28.5708,-70.7581,17.22,65,0,0.53,CL,1681441111
19,adrar,20.5022,-10.0711,25.93,37,76,2.62,MR,1681441111
20,mahenge,-8.6833,36.7167,17.36,96,100,0.71,TZ,1681441111
21,new norfolk,-42.7826,147.0587,16.07,44,0,2.22,AU,1681440841
22,kruisfontein,-34.0033,24.7314,14.07,84,36,10.49,ZA,1681441112
23,port alfred,-33.5906,26.891,17.02,69,1,11.11,ZA,1681441112
24,leningradskiy,69.3833,178.4167,-14.8,84,61,3.46,RU,1681441113
25,kaduy,59.2,37.15,-3.33,64,11,4.52,RU,1681441113
26,sibuco,7.2911,122.0656,30.97,60,65,1.71,PH,1681441113
27,mazatlan,23.2167,-106.4167,23.28,80,100,0.89,MX,1681441113
28,colares,38.7992,-9.4469,13.52,70,100,8.94,PT,1681441061
29,tiksi,71.6872,128.8694,-6.29,81,100,1.67,RU,1681441114
30,kununurra,-15.7667,128.7333,29.99,70,40,1.54,AU,1681441053
31,yazman,29.1212,71.7446,33.19,15,0,3.5,PK,1681441115
32,punta arenas,-53.15,-70.9167,3.06,81,0,4.63,CL,1681441115
33,busselton,-33.65,115.3333,17.13,38,62,9.45,AU,1681441115
34,puerto madryn,-42.7692,-65.0385,9.39,60,0,5.13,AR,1681441115
35,erzin,36.9559,36.2,11.04,82,12,1.53,TR,1681441115
36,bardiyah,31.7561,25.0865,16.21,64,4,4.44,LY,1681441116
37,tasiilaq,65.6145,-37.6368,-6.31,89,66,2.28,GL,1681441116
38,bluff,-46.6,168.3333,16.09,70,0,5.66,NZ,1681441116
39,narsaq,60.9167,-46.05,-0.89,70,100,3.35,GL,1681441116
40,san carlos,9.6612,-68.5827,26.01,67,32,1.97,VE,1681441116
41,east london,-33.0153,27.9116,17.64,64,56,7.07,ZA,1681441116
42,ballina,-28.8667,153.5667,23.77,63,50,7.59,AU,1681441116
43,north myrtle beach,33.816,-78.68,20.05,85,100,2.57,US,1681441116
44,yamada,39.4667,141.95,16.44,52,93,6.71,JP,1681441116
45,conde,-7.2597,-34.9075,23.7,94,20,2.57,BR,1681441117
46,sao filipe,14.8961,-24.4956,23.0,80,55,0.16,CV,1681441117
47,necochea,-38.5473,-58.7368,12.1,57,98,2.75,AR,1681440882
